"participant","pictures","pe","corrAns","corrAnsRT","conf","confRT","soundcorrAns","on","soundcorrAnsRT","category","trial","block","rt_out"
3201,"fruit_15.png","lowPE",0,3.22776,4,3.704305,1,"old",1.010745,"fruit",1,1,3.22776
3201,"house_72.png","new",1,1.162555,1,1.848285,0,"new",NA,"house",2,1,1.162555
3201,"toy_19.png","medPE",1,1.59118,1,0.955395,0,"old",0.703745,"toy",3,1,1.59118
3201,"toy_16.png","highPE",1,1.22969,1,0.92022,1,"old",1.733325,"toy",4,1,1.22969
3201,"toy_72.png","new",0,3.076395,1,1.521115,0,"new",NA,"toy",5,1,3.076395
3201,"house_18.png","lowPE",1,0.60683,1,0.60098,1,"old",3.43403,"house",6,1,0.60683
3201,"toy_17.png","medPE",1,1.3181,2,0.93485,0,"old",0.5911,"toy",7,1,1.3181
3201,"animal_15.png","medPE",1,1.122435,1,1.13887,0,"old",0.866485,"animal",8,1,1.122435
3201,"animal_16.png","medPE",1,0.729215,1,0.917385,1,"old",3.009815,"animal",9,1,0.729215
3201,"house_70.png","new",1,0.56832,1,2.135165,0,"new",NA,"house",10,1,0.56832
3201,"animal_24.png","highPE",1,0.643495,1,0.923535,1,"old",0.49562,"animal",11,1,0.643495
3201,"house_15.png","highPE",1,0.40774,1,0.75831,1,"old",0.836835,"house",12,1,0.40774
3201,"toy_15.png","highPE",1,0.421895,1,1.8015,0,"old",5.051035,"toy",13,1,0.421895
3201,"house_21.png","lowPE",1,0.91707,1,1.018105,0,"old",0.817515,"house",14,1,0.91707
3201,"animal_72.png","new",1,2.77822,3,1.38352,0,"new",NA,"animal",15,1,2.77822
3201,"fruit_20.png","medPE",1,0.550235,1,1.257045,1,"old",3.605655,"fruit",16,1,0.550235
3201,"animal_71.png","new",1,1.658805,1,0.838385,0,"new",NA,"animal",17,1,1.658805
3201,"fruit_21.png","medPE",1,0.37994,1,0.443235,0,"old",4.60497,"fruit",18,1,0.37994
3201,"house_74.png","new",1,1.37534,2,1.212965,0,"new",NA,"house",19,1,1.37534
3201,"fruit_16.png","lowPE",1,0.35521,1,0.46819,1,"old",1.20166,"fruit",20,1,0.35521
3201,"toy_20.png","lowPE",1,1.322075,1,0.51957,0,"old",1.160895,"toy",21,1,1.322075
3201,"animal_73.png","new",1,0.64102,1,0.792565,0,"new",NA,"animal",22,1,0.64102
3201,"fruit_22.png","medPE",1,1.21972,1,0.60104,1,"old",0.65427,"fruit",23,1,1.21972
3201,"house_20.png","lowPE",1,0.34465,1,0.552995,0,"old",2.208835,"house",24,1,0.34465
3201,"toy_70.png","new",1,3.0802,3,0.938675,0,"new",NA,"toy",25,1,3.0802
3201,"toy_74.png","new",1,0.693225,1,0.74515,0,"new",NA,"toy",26,1,0.693225
3201,"fruit_23.png","highPE",1,0.37453,1,0.54969,1,"old",7.168585,"fruit",27,1,0.37453
3201,"house_23.png","medPE",1,1.36606,1,0.83449,0,"old",1.70154,"house",28,1,1.36606
3201,"animal_20.png","lowPE",1,0.996545,1,0.717425,1,"old",0.884135,"animal",29,1,0.996545
3201,"animal_19.png","lowPE",1,0.397555,1,0.506655,0,"old",0.384745,"animal",30,1,0.397555
3201,"fruit_71.png","new",1,1.343515,3,1.15497,0,"new",NA,"fruit",31,1,1.343515
3201,"fruit_74.png","new",1,0.371485,2,0.80586,0,"new",NA,"fruit",32,1,0.371485
3201,"animal_23.png","highPE",1,1.10031,1,1.356305,1,"old",4.600255,"animal",33,1,1.10031
3201,"fruit_72.png","new",1,0.39583,2,0.517055,0,"new",NA,"fruit",34,1,0.39583
3201,"house_24.png","medPE",1,0.41846,1,0.971165,0,"old",2.07837,"house",35,1,0.41846
3201,"animal_17.png","medPE",1,0.509175,1,0.39763,0,"old",4.10657,"animal",36,1,0.509175
3201,"fruit_70.png","new",0,2.22971,1,0.4189,0,"new",NA,"fruit",37,1,2.22971
3201,"house_17.png","lowPE",1,0.42947,1,0.583835,1,"old",0.6466,"house",38,1,0.42947
3201,"toy_73.png","new",1,0.45057,2,1.793365,0,"new",NA,"toy",39,1,0.45057
3201,"house_73.png","new",1,0.447555,1,0.542175,0,"new",NA,"house",40,1,0.447555
3201,"animal_18.png","lowPE",1,0.444565,2,1.33366,1,"old",0.804955,"animal",41,1,0.444565
3201,"fruit_24.png","highPE",1,0.36757,1,0.335115,0,"old",1.0977,"fruit",42,1,0.36757
3201,"toy_22.png","lowPE",1,1.1196,2,1.8099,1,"old",0.918375,"toy",43,1,1.1196
3201,"house_19.png","lowPE",0,0.66778,3,0.908495,0,"old",0.441365,"house",44,1,0.66778
3201,"toy_21.png","lowPE",1,1.90387,1,0.400745,0,"old",0.937775,"toy",45,1,1.90387
3201,"animal_74.png","new",0,1.096625,3,0.587005,0,"new",NA,"animal",46,1,1.096625
