"participant","PE_level","recogResp","recogRT","conf","sceneResp","cornerResp","cases","scenes","old_new","corrlocation","corrAns","corrAns_scene","corrAns_corner","rt_out"
1,"low",1,8.191999912,3,3,2,"old","Savanna4.jpeg","Qu1_oldleftt.png","4",1,0,0,8.191999912
1,"medium",4,4.813999891,4,4,2,"old","Icy3.jpeg","Qu1_oldleftt.png","1",0,0,0,4.813999891
1,"new",4,2.776000023,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,2.776000023
1,"new",4,4.104000092,4,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,4.104000092
1,"low",4,5.345999956,3,3,3,"old","Beach4.jpeg","Qu1_oldleftt.png","4",0,0,0,5.345999956
1,"new",4,3.434999943,4,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,3.434999943
1,"new",1,4.452000141,2,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",0,0,0,4.452000141
1,"low",1,6.264999866,3,4,2,"old","Desert4.jpeg","Qu1_oldleftt.png","2",1,1,1,6.264999866
1,"new",4,4.503000021,2,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,4.503000021
1,"high",4,5.929999828,4,4,1,"old","Savanna4.jpeg","Qu1_oldleftt.png","1",0,1,1,5.929999828
1,"low",1,3.636999846,3,1,4,"old","Icy3.jpeg","Qu1_oldleftt.png","3",1,0,0,3.636999846
1,"high",1,8.046000004,4,2,1,"old","Beach3.jpeg","Qu1_oldleftt.png","2",1,0,0,8.046000004
1,"low",4,2.089999914,4,2,2,"old","Desert2.jpeg","Qu1_oldleftt.png","4",0,1,0,2.089999914
1,"low",4,3.562999964,2,3,4,"old","Icy1.jpeg","Qu1_oldleftt.png","3",0,0,0,3.562999964
1,"medium",1,2.52699995,4,1,1,"old","Desert1.jpeg","Qu1_oldleftt.png","1",1,1,1,2.52699995
1,"new",4,13.65099978,4,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,13.65099978
1,"high",4,2.536999941,2,1,3,"old","Desert3.jpeg","Qu1_oldleftt.png","4",0,0,0,2.536999941
1,"new",1,4.788000107,4,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",0,0,0,4.788000107
1,"low",4,1.794000149,3,4,2,"old","Desert4.jpeg","Qu1_oldleftt.png","1",0,1,0,1.794000149
1,"medium",4,2.950000048,4,1,2,"old","Savanna2.jpeg","Qu1_oldleftt.png","2",0,0,1,2.950000048
1,"medium",4,13.91900015,3,2,4,"old","Icy4.jpeg","Qu1_oldleftt.png","1",0,0,0,13.91900015
1,"medium",4,6.090000153,2,1,2,"old","Savanna1.jpeg","Qu1_oldleftt.png","2",0,1,1,6.090000153
1,"new",1,3.684000015,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",0,0,0,3.684000015
1,"high",4,4.812999964,3,2,1,"old","Icy3.jpeg","Qu1_oldleftt.png","4",0,0,0,4.812999964
1,"low",1,1.501000166,4,3,3,"old","Savanna4.jpeg","Qu1_oldleftt.png","2",1,0,0,1.501000166
1,"new",1,5.122999907,4,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",0,0,0,5.122999907
1,"new",4,1.789999962,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,1.789999962
1,"new",1,3.224999905,2,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",0,0,0,3.224999905
1,"high",1,1.152999878,2,2,4,"old","Savanna2.jpeg","Qu1_oldleftt.png","3",1,1,0,1.152999878
1,"high",1,3.694999933,4,3,1,"old","Icy3.jpeg","Qu1_oldleftt.png","3",1,1,0,3.694999933
1,"new",4,10.19199991,4,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,10.19199991
1,"medium",4,1.644999981,4,3,2,"old","Desert3.jpeg","Qu1_oldleftt.png","4",0,1,0,1.644999981
1,"new",4,1.858999968,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,1.858999968
1,"new",4,6.871999979,2,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,6.871999979
1,"new",1,3.013000011,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",0,0,0,3.013000011
1,"new",4,1.227999926,4,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,1.227999926
1,"high",4,4.649999857,2,4,2,"old","Beach4.jpeg","Qu1_oldleftt.png","1",0,1,0,4.649999857
1,"new",1,18.22799993,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",0,0,0,18.22799993
1,"new",4,1.585000038,4,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,1.585000038
1,"new",4,1.256000042,4,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,1.256000042
1,"high",4,2.767999887,3,4,1,"old","Desert2.jpeg","Qu1_oldleftt.png","4",0,0,0,2.767999887
1,"medium",4,4.311000109,2,3,2,"old","Icy2.jpeg","Qu1_oldleftt.png","3",0,0,0,4.311000109
1,"low",4,10.45000005,2,2,4,"old","Beach4.jpeg","Qu1_oldleftt.png","1",0,0,0,10.45000005
1,"new",1,3.832999945,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",0,0,0,3.832999945
1,"high",4,1.718000174,2,1,3,"old","Desert2.jpeg","Qu1_oldleftt.png","1",0,0,0,1.718000174
1,"low",4,1.387000084,4,1,3,"old","Beach1.jpeg","Qu1_oldleftt.png","2",0,1,0,1.387000084
1,"new",4,1.506999969,4,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,1.506999969
1,"medium",4,1.717999935,4,3,1,"old","Savanna1.jpeg","Qu1_oldleftt.png","4",0,0,0,1.717999935
1,"new",4,4.230000019,4,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,4.230000019
1,"medium",1,1.784000158,4,1,2,"old","Beach4.jpeg","Qu1_oldleftt.png","2",1,0,1,1.784000158
1,"new",1,1.819000006,4,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",0,0,0,1.819000006
1,"new",4,1.870000124,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,1.870000124
1,"medium",1,7.917000055,3,4,3,"old","Desert3.jpeg","Qu1_oldleftt.png","1",1,0,0,7.917000055
1,"high",1,14.773,4,1,2,"old","Desert4.jpeg","Qu1_oldleftt.png","2",1,0,1,14.773
1,"low",1,1.013999939,1,2,4,"old","Icy4.jpeg","Qu1_oldleftt.png","2",1,0,0,1.013999939
1,"new",4,2.187000036,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,2.187000036
1,"new",4,1.938000202,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,1.938000202
1,"new",4,1.200000048,4,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,1.200000048
1,"high",4,2.439999819,4,4,1,"old","Icy1.jpeg","Qu1_oldleftt.png","3",0,0,0,2.439999819
1,"high",4,7.053000212,3,4,1,"old","Beach1.jpeg","Qu1_oldleftt.png","3",0,0,0,7.053000212
1,"high",4,3.159000158,2,1,2,"old","Savanna4.jpeg","Qu1_oldleftt.png","2",0,0,1,3.159000158
1,"low",4,8.710000038,3,2,1,"old","Beach1.jpeg","Qu1_oldleftt.png","1",0,0,1,8.710000038
1,"medium",1,1.842000008,4,1,4,"old","Beach3.jpeg","Qu1_oldleftt.png","3",1,0,0,1.842000008
1,"high",4,2.187000036,3,2,1,"old","Beach2.jpeg","Qu1_oldleftt.png","2",0,1,0,2.187000036
1,"high",4,5.854000092,3,1,3,"old","Icy3.jpeg","Qu1_oldleftt.png","4",0,0,0,5.854000092
1,"new",1,2.95600009,4,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",0,0,0,2.95600009
1,"low",1,1.640000105,4,1,3,"old","Icy1.jpeg","Qu1_oldleftt.png","4",1,1,0,1.640000105
1,"medium",4,1.299000025,4,3,2,"old","Savanna1.jpeg","Qu1_oldleftt.png","1",0,0,0,1.299000025
1,"low",4,14.58800006,3,3,2,"old","Desert3.jpeg","Qu1_oldleftt.png","3",0,1,0,14.58800006
1,"medium",4,9.274000168,3,1,2,"old","Desert1.jpeg","Qu1_oldleftt.png","1",0,1,0,9.274000168
1,"new",4,2.231999874,4,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,2.231999874
1,"low",1,2.451999903,3,2,1,"old","Savanna1.jpeg","Qu1_oldleftt.png","2",1,0,0,2.451999903
1,"new",1,1.473999977,1,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",0,0,0,1.473999977
1,"medium",4,22.71800017,3,2,1,"old","Icy2.jpeg","Qu1_oldleftt.png","2",0,1,0,22.71800017
1,"new",4,1.192000151,2,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,1.192000151
1,"new",4,2.664999962,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,2.664999962
1,"medium",4,1.282999992,4,1,1,"old","Beach4.jpeg","Qu1_oldleftt.png","3",0,0,0,1.282999992
1,"medium",4,1.232000113,4,2,4,"old","Beach4.jpeg","Qu1_oldleftt.png","2",0,0,0,1.232000113
1,"low",4,12.704,3,1,1,"old","Savanna1.jpeg","Qu1_oldleftt.png","4",0,1,0,12.704
1,"high",4,1.111000061,4,3,1,"old","Savanna2.jpeg","Qu1_oldleftt.png","1",0,0,1,1.111000061
2,"new",1,2.325999975,4,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,2.325999975
2,"low",1,6.802000046,3,2,1,"old","Beach3.jpeg","Qu1_oldright.png","2",0,0,0,6.802000046
2,"new",1,3.605000019,2,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,3.605000019
2,"medium",1,6.89199996,2,3,1,"old","Icy1.jpeg","Qu1_oldright.png","1",0,0,1,6.89199996
2,"medium",1,15.8269999,3,3,2,"old","Beach2.jpeg","Qu1_oldright.png","1",0,0,0,15.8269999
2,"new",1,2.659000158,4,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,2.659000158
2,"new",4,3.095999956,4,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,3.095999956
2,"medium",4,3.529999971,4,4,2,"old","Savanna4.jpeg","Qu1_oldright.png","2",1,1,1,3.529999971
2,"medium",1,2.161999941,4,2,1,"old","Savanna4.jpeg","Qu1_oldright.png","1",0,0,1,2.161999941
2,"high",4,2.988999844,3,1,4,"old","Desert2.jpeg","Qu1_oldright.png","3",1,0,0,2.988999844
2,"new",1,4.490999937,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,4.490999937
2,"low",1,6.748000145,3,4,3,"old","Beach3.jpeg","Qu1_oldright.png","3",0,0,1,6.748000145
2,"medium",4,3.9150002,4,2,2,"old","Beach4.jpeg","Qu1_oldright.png","1",1,0,0,3.9150002
2,"new",1,3.422999859,2,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,3.422999859
2,"low",1,3.220999956,2,4,2,"old","Icy2.jpeg","Qu1_oldright.png","3",0,0,0,3.220999956
2,"low",1,3.489000082,2,3,2,"old","Icy2.jpeg","Qu1_oldright.png","1",0,0,0,3.489000082
2,"low",1,1.391000032,4,1,2,"old","Desert2.jpeg","Qu1_oldright.png","4",0,0,0,1.391000032
2,"medium",4,3.749000072,3,4,4,"old","Desert4.jpeg","Qu1_oldright.png","2",1,1,0,3.749000072
2,"high",4,3.640000105,2,4,1,"old","Beach3.jpeg","Qu1_oldright.png","2",1,0,0,3.640000105
2,"high",4,1.959000111,3,2,1,"old","Desert2.jpeg","Qu1_oldright.png","3",1,1,0,1.959000111
2,"medium",4,3.23300004,3,4,4,"old","Icy3.jpeg","Qu1_oldright.png","3",1,0,0,3.23300004
2,"new",4,1.642999887,4,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,1.642999887
2,"high",4,6.097999811,3,3,2,"old","Icy4.jpeg","Qu1_oldright.png","2",1,0,1,6.097999811
2,"new",4,17.86000013,2,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,17.86000013
2,"new",1,1.665999889,4,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,1.665999889
2,"new",4,1.534000158,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,1.534000158
2,"new",4,3.960000038,1,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,3.960000038
2,"new",4,1.222000122,4,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,1.222000122
2,"medium",4,6.090999842,2,3,2,"old","Beach4.jpeg","Qu1_oldright.png","1",1,0,0,6.090999842
2,"medium",4,2.404000044,2,1,4,"old","Beach2.jpeg","Qu1_oldright.png","3",1,0,0,2.404000044
2,"high",4,2.578999996,1,2,3,"old","Desert3.jpeg","Qu1_oldright.png","4",1,0,0,2.578999996
2,"high",1,1.65899992,4,2,3,"old","Savanna2.jpeg","Qu1_oldright.png","1",0,1,0,1.65899992
2,"new",1,1.93900013,4,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,1.93900013
2,"high",4,2.883000135,1,2,2,"old","Savanna4.jpeg","Qu1_oldright.png","2",1,0,1,2.883000135
2,"new",1,3.328000069,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,3.328000069
2,"low",4,4.605000019,2,4,2,"old","Icy3.jpeg","Qu1_oldright.png","4",1,0,0,4.605000019
2,"new",4,9.825000048,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,9.825000048
2,"new",1,2.674999952,2,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,2.674999952
2,"low",4,1.604999781,4,2,1,"old","Savanna3.jpg","Qu1_oldright.png","3",1,0,0,1.604999781
2,"high",1,2.772000074,4,1,1,"old","Icy2.jpeg","Qu1_oldright.png","1",0,0,1,2.772000074
2,"low",4,4.289999962,2,1,2,"old","Desert3.jpeg","Qu1_oldright.png","2",1,0,1,4.289999962
2,"high",1,11.29499984,4,4,2,"old","Savanna1.jpeg","Qu1_oldright.png","1",0,0,0,11.29499984
2,"low",4,4.107000113,3,1,2,"old","Beach4.jpeg","Qu1_oldright.png","3",1,0,0,4.107000113
2,"new",4,2.304000139,2,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,2.304000139
2,"medium",1,1.493000031,4,2,2,"old","Savanna3.jpg","Qu1_oldright.png","1",0,0,0,1.493000031
2,"new",4,2.722000122,2,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,2.722000122
2,"high",1,1.653999805,4,2,2,"old","Icy1.jpeg","Qu1_oldright.png","2",0,0,1,1.653999805
2,"low",1,3.092000008,4,1,1,"old","Savanna1.jpeg","Qu1_oldright.png","1",0,1,1,3.092000008
2,"low",1,8.361000061,1,1,2,"old","Savanna2.jpeg","Qu1_oldright.png","2",0,0,1,8.361000061
2,"medium",4,1.513999939,3,4,2,"old","Icy4.jpeg","Qu1_oldright.png","2",1,1,1,1.513999939
2,"new",4,3.260999918,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,3.260999918
2,"medium",4,1.639999866,4,1,4,"old","Savanna1.jpeg","Qu1_oldright.png","3",1,1,0,1.639999866
2,"medium",1,3.109999895,3,1,2,"old","Icy4.jpeg","Qu1_oldright.png","2",0,0,1,3.109999895
2,"new",1,2.653000116,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,2.653000116
2,"low",1,2.673000097,4,1,3,"old","Desert2.jpeg","Qu1_oldright.png","3",0,0,1,2.673000097
2,"new",1,1.606999874,4,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,1.606999874
2,"new",4,2.358999968,4,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,2.358999968
2,"high",1,2.004999876,4,4,2,"old","Beach4.jpeg","Qu1_oldright.png","2",0,1,1,2.004999876
2,"low",1,7.478000164,3,3,2,"old","Savanna2.jpeg","Qu1_oldright.png","3",0,0,0,7.478000164
2,"new",1,1.513999939,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,1.513999939
2,"new",4,2.015000105,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,2.015000105
2,"new",4,1.421000004,4,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,1.421000004
2,"low",4,1.305999994,4,2,2,"old","Desert1.jpeg","Qu1_oldright.png","4",1,0,0,1.305999994
2,"new",4,1.723999977,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,1.723999977
2,"low",4,1.272000074,4,4,1,"old","Beach3.jpeg","Qu1_oldright.png","2",1,0,0,1.272000074
2,"medium",4,1.656999826,3,1,2,"old","Desert2.jpeg","Qu1_oldright.png","3",1,0,0,1.656999826
2,"high",4,1.271000147,4,1,2,"old","Beach1.jpeg","Qu1_oldright.png","3",1,1,0,1.271000147
2,"medium",1,1.888000011,2,2,3,"old","Desert4.jpeg","Qu1_oldright.png","3",0,0,1,1.888000011
2,"low",1,6.145999908,2,4,3,"old","Icy4.jpeg","Qu1_oldright.png","4",0,1,0,6.145999908
2,"high",4,1.242000103,4,1,2,"old","Savanna3.jpg","Qu1_oldright.png","4",1,0,0,1.242000103
2,"new",1,4.960000038,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,4.960000038
2,"high",1,1.125999928,3,3,2,"old","Icy1.jpeg","Qu1_oldright.png","4",0,0,0,1.125999928
2,"new",4,3.221999884,4,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,3.221999884
2,"new",1,1.437999964,4,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,1.437999964
2,"new",1,0.877999783,4,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,0.877999783
2,"high",4,2.14199996,2,2,2,"old","Desert3.jpeg","Qu1_oldright.png","2",1,0,1,2.14199996
2,"medium",1,8.157999992,3,4,4,"old","Desert4.jpeg","Qu1_oldright.png","2",0,1,0,8.157999992
2,"new",1,11.21399999,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,11.21399999
2,"new",1,8.094000101,2,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,8.094000101
2,"high",1,2.210000038,3,1,3,"old","Beach2.jpeg","Qu1_oldright.png","4",0,0,0,2.210000038
5,"medium",4,4.454999924,4,2,3,"old","Desert1.jpeg","Qu1_oldleftt.png","3",0,0,1,4.454999924
5,"medium",4,9.296000004,3,1,2,"old","Savanna3.jpeg","Qu1_oldleftt.png","2",0,0,1,9.296000004
5,"medium",4,5.694999933,3,4,2,"old","Savanna3.jpeg","Qu1_oldleftt.png","2",0,0,1,5.694999933
5,"low",4,2.710999966,3,3,3,"old","Desert3.jpeg","Qu1_oldleftt.png","2",0,1,0,2.710999966
5,"high",4,1.924999952,3,4,4,"old","Desert2.jpeg","Qu1_oldleftt.png","2",0,0,0,1.924999952
5,"new",4,4.428999901,4,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,4.428999901
5,"low",4,4.755999804,4,4,4,"old","Beach4.jpeg","Qu1_oldleftt.png","1",0,1,0,4.755999804
5,"low",4,1.490999937,4,3,1,"old","Icy2.jpeg","Qu1_oldleftt.png","1",0,0,1,1.490999937
5,"new",4,2.99000001,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,2.99000001
5,"medium",4,3.843999863,3,1,2,"old","Desert3.jpeg","Qu1_oldleftt.png","2",0,0,1,3.843999863
5,"medium",4,1.277999878,4,3,3,"old","Desert1.jpeg","Qu1_oldleftt.png","3",0,0,1,1.277999878
5,"low",1,5.819999933,2,1,3,"old","Icy2.jpeg","Qu1_oldleftt.png","1",1,0,0,5.819999933
5,"new",4,2.215999842,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,2.215999842
