"pe","participant","conf","study","N","corrAns","sd","se","ci"
"lowPE","3201","1","Experiment 1",35,1,0,0,0
"lowPE","3201","2","Experiment 1",14,0.714285714285714,0.468807230938495,0.125294002758147,0.270681236401463
"lowPE","3201","3","Experiment 1",9,0.555555555555556,0.52704627669473,0.175682092231577,0.405123631167335
"lowPE","3201","4","Experiment 1",2,0,0,0,0
"lowPE","3202","1","Experiment 1",29,0.96551724137931,0.185695338177052,0.0344827586206897,0.0706347290274222
"lowPE","3202","2","Experiment 1",18,0.888888888888889,0.323380833381777,0.0762215933966706,0.160813505115573
"lowPE","3202","3","Experiment 1",13,0.461538461538462,0.518874521662771,0.143909899491305,0.313552735327778
"lowPE","3203","1","Experiment 1",26,1,0,0,0
"lowPE","3203","2","Experiment 1",12,0.833333333333333,0.389249472080761,0.112366643743874,0.24731731536957
"lowPE","3203","3","Experiment 1",14,0.642857142857143,0.497245158098847,0.132894358488438,0.287100806699151
"lowPE","3203","4","Experiment 1",8,0.875,0.353553390593274,0.125,0.295578031449098
"lowPE","3204","1","Experiment 1",15,0.933333333333333,0.258198889747161,0.0666666666666667,0.14298577919452
"lowPE","3204","2","Experiment 1",43,0.86046511627907,0.350604603563426,0.0534667007954521,0.10790017058537
"lowPE","3204","3","Experiment 1",2,1,0,0,0
"lowPE","3205","1","Experiment 1",26,1,0,0,0
"lowPE","3205","2","Experiment 1",18,0.944444444444444,0.235702260395516,0.0555555555555556,0.117211976546295
"lowPE","3205","3","Experiment 1",14,0.5,0.518874521662771,0.138675049056307,0.299589229414686
"lowPE","3206","1","Experiment 1",23,0.956521739130435,0.208514414057075,0.0434782608695652,0.0901683942566968
"lowPE","3206","2","Experiment 1",16,0.75,0.447213595499958,0.111803398874989,0.238303303724135
"lowPE","3206","3","Experiment 1",21,0.571428571428571,0.50709255283711,0.110656667034498,0.230825762630232
"lowPE","3207","1","Experiment 1",39,1,0,0,0
"lowPE","3207","2","Experiment 1",16,0.75,0.447213595499958,0.111803398874989,0.238303303724135
"lowPE","3207","3","Experiment 1",5,0.4,0.547722557505166,0.244948974278318,0.680087380658256
"lowPE","3208","1","Experiment 1",44,0.840909090909091,0.369989429024468,0.0557780051123632,0.112487067798593
"lowPE","3208","2","Experiment 1",8,0.875,0.353553390593274,0.125,0.295578031449098
"lowPE","3208","3","Experiment 1",2,1,0,0,0
"lowPE","3208","4","Experiment 1",6,0.166666666666667,0.408248290463863,0.166666666666667,0.428430305939386
"lowPE","3209","1","Experiment 1",39,1,0,0,0
